上海交通大学120周年校庆喜饼选择蛋奶，木瓜，芒果三种口味有什么寓意吗？,求类似糕点链接！
挖出了文物不上交国家，在家放一段时间说是祖传的再拿出去卖是否可行？,  就这土陶破魂瓶，没人收的。知不知道为啥把这东西叫做魂瓶？哪个正常的收藏家会买这个东西放在家里？（好吧我承认我不太正常）  别以为农民就不懂行情，人家说不准早找贩子问过了，上交国家是为了利益最大化 →_→   这是09年佳士得拍的那只宋代魂瓶。先和上面那俩陶罐子对比一下   不懂2125美元的成交价怎么就传成了209万英镑。  而且一般的宋代魂瓶还拍不出这价来。这是名人旧藏。佳士得这场专拍叫 塞克勒中国艺术品珍藏专拍 ，对，就是北大塞克勒博物馆那个塞克勒。  传这些消息的人，这智商真是醉了。。。。
读研，比较浙大软院，上交软件，上交计算机，南大软件，南大计算机。？, 谢邀。。？  答主今年刚录取浙大软院硕士，且考研前只考虑过浙大软院~~  据我对浙大妓院和软院的了解，主要不同就是【1】妓院3年，软院2年【2】妓院一般要求科班或者至少基础过硬，软院对于有一定基础的人都挺欢迎，我的同学有不少服装/文学这样跨度非常大的【3】妓院注重理论和科研的培养，软院是程序员（好听点就是工程师。。。）培养基地   我今年在考虑调剂的时候，对其他985软院稍作了解，浙大软院可以说是对学生的关心上遥遥领先，在各个方面都非常人性，软院的老师们也是非常nice~~      欢迎学弟学妹来浙大呀，妓院在玉泉，软院在宁波，是唯一有点小遗憾的地方 
南京大学和东南大学有合并的可能吗，会制造出一个超越复旦上交的巨无霸吗？,其实两所学校本来打算合并的，但在新校的命名上有了分歧，南大校长说新校取东南的南字和南京的京字，叫南京大学，东大校长说取东南的东字和南京的南字，叫东南大学。双方各不让步，合并一事也就不了了之了。
上海交通大学的军训有什么特色么？,   喜欢念一些饱含民族气节，大气磅礴的诗句
上海交通大学有哪些好老师？,张永平老师  闷声发(zuo)大财(si)
为什么浙江大学会被认为是和上海交通大学、复旦大学等同一档次的学校？,不谢邀。  看了一下，这提问者是曾博学长吧。怎么说您也是浙大本，UC Berkeley的PhD毕业吧。 作为一线学校的PhD，讨论这种无意义的问题真的有意思？  1. 真的讨论学校之间某个方向具体的水平问题，谁会听外人瞎扯，学术界的人会敏感的多吧。  2. 弄个所谓的综合排名的话，无非就是各种利益集团的 tradeoff，国外有US NEWS，国内有武书连。这种事情屁股决定脑袋，非要强行设计套方案撕逼有意思么？  怎么说您这当年在飞跃手册上也是一本正经的抨击学校教学，讨论的起码也是有些意义的事情。现如今，就算不搞research，咱好好做点事情不成么。
如何看待上海交通大学美时光女子学堂？, 前几天去灵石路的健康智谷找闺蜜喝茶，看到路边的美时光女子学堂，外边看上去很美，装修也不错，很有情调，玻璃的外光，张贴着学堂课程的一些介绍，所以进去看了一下；  接待我俩的应该是店长吧，很漂亮，礼仪很到位也很热情，她待着我们参观了一下，学堂总体蛮大的，分为楼上楼下两层，布局很合理，装饰也很赏心悦目，楼上有一间很大的教室，就是平时上课用的，也有茶歇室、更衣室等等，楼下是会客区，聊天的话很不错，然后我们就和这位美女聊了一下。  我闺蜜是在这边工作的，她之前也是看着这个学堂一直在装修，之前也很好奇，所以有时留意了一下外面墙上的一些海报，有了一些了解。  我听学堂美女介绍了学堂背景，说是与上海交通大学海外教育学院合作打造的，而且学堂所有讲课的内容都是由交大编写的，对于我这个交大毕业好多年的人来说，无疑是很有好感的，所以大致看了一下里面的课程内容，我觉得很适合都市女性，增加一些生活情趣，我之前也就是玩玩手机追剧刷淘宝，生活里大多数时间是这样混过去的，如果说有个地方可以学一些增添生活情调，环境价格都合适的话，我认为很有意思；  这个学堂，对当代的都市女性很适合。 
求问西安交通大学和上海大学的社会学研究生怎么选？求介绍专业实力、就业情况、发展前景等方面？, 上海大学社会学的学术实力高于西安交通大学  学校整体实力、口碑、名气无法比，西安交通大学高太多 
怎么找上交同济男生做男朋友？,真遇到工科男你就不会这么觉得了 心目中的工科男都是假象2333 纯TX
上海交通大学和西安交通大学的电气专业哪个就业比较好？,本人西交研究生毕业 就职电网 我要说的在这样层次的学校里 是用人单位不会关注到底哪个学校学术水平更强 而是你自己的想法是否容易受环境的影响 我也有在上交电气工程的同学  对比一下可以得得出以下结论： 1.西交电气工程“几乎”全是强电专业 而且专业分支细而全 对于要在这个专业里深度钻研的人非常适合 上交电气工程包含在电院 强弱结合 至于强电方面细分就不清楚了 2.相对东南沿海 西北的学校提供的外部支援就较少了 不像上海那么多企业支持 当然也会有校友支持 3.就业方面 西交毕业生多倾向国企及大的制造业企业 当然来校招聘的企业也多是这类 找工作氛围就是这样 当然也有意外 我有师兄毕业去了baidu 还负责开发了百度文库 相比之下上交会灵活很多  4.如果题主本来就要进电网核电制造业 西交欢迎你 如果你志不在此而且意志力不够坚强 请选他交
上交的专业哪些好，就业前景怎么样？,谢邀～ 我交有三大院：机电船。机械、电气、船舶是我交的传统优势，这三方面在世界上都是很有名气的（而且每年招生最多的也是这三大院==），机动和电院出来的相当好找工作，而且薪水普遍高，据说本科生一般月薪6000起，船建就业有些受限制（就业面窄，不过也能找到很好的工作），我也不太了解。总之我交工科相当强。一般工科强的院校毕业后就业前景都很好。（我们经常这样讽刺自己：北蓝翔，南闵行（我们主校区所在地）） 文理科者如经管都是近几年才比较热门的，倒也不是说不好，只是没有传统优势，都是处在发展期。对了，我交的物理也相当厉害，毕竟我们的校长就是物理系的。（以上仅凭记忆、印象回答，不保证一定准确^_^）
关于母亲要求女儿工资上交的问题？,不交，否则以后她让你嫁谁你就得嫁谁。
考复旦经管和上交安泰的难度怎么样，这两个考研有什么区别？,具体情况的话，没考上所以没立场深度评论。但是我觉得可以从这两所学校历年的报录比数据和分数线来比较，这几个数据可以参考一下： 复旦大学考研历年分数线_复旦考研分数线_聚英考研网   和 复旦大学考研报录比_复旦研究生报录比_聚英考研网   ；上交大的话： 上海交通大学考研历年分数线_交大考研分数线_聚英考研网   和 上海交通大学考研报录比_交大研究生报录比_聚英考研网   。数据不会骗人。加油吧！
